{ 84, 4 },
{ 4, 29 },
{ 11, 27 },
{ 38, 29 },
{ 9, 28 },
{ 49, 14 },
{ 81, 56 },
{ 48, 38 },
{ 45, 71 },
{ 68, 15 },
{ 7, 97 },
{ 34, 93 },
{ 51, 97 },
{ 28, 46 },
{ 24, 23 },
{ 89, 54 },
{ 25, 92 },
{ 70, 71 },
{ 16, 79 },
{ 44, 83 },
{ 20, 43 },
{ 65, 40 },
{ 30, 71 },
{ 36, 63 },
{ 15, 86 },
{ 12, 42 },
{ 83, 87 },
{ 40, 41 },
{ 96, 44 },
{ 67, 46 },
{ 60, 62 },
{ 5, 100 },
{ 94, 69 },
{ 39, 23 },
{ 92, 26 },
{ 100, 46 },
{ 35, 64 },
{ 17, 75 },
{ 56, 83 },
{ 19, 47 },
{ 79, 37 },
{ 99, 25 },
{ 23, 15 },
{ 87, 66 },
{ 72, 3 },
{ 86, 16 },
{ 33, 41 },
{ 50, 84 },
{ 76, 21 },
{ 57, 74 },
{ 43, 55 },
{ 74, 84 },
{ 42, 32 },
{ 18, 27 },
{ 85, 95 },
{ 21, 66 },
{ 66, 30 },
{ 75, 5 },
{ 95, 20 },
{ 2, 91 },
{ 77, 5 },
###############################
num of successes: 142
num of invalid input: 761
num of failures: 197
num of lectures: 139
{ 84, 2, 120 },
{ 25, 67, 2 },
{ 20, 28, 12 },
{ 2, 75, 3 },
{ 15, 58, 2 },
{ 66, 14, 11 },
{ 70, 5, 7 },
{ 57, 2, 5 },
{ 67, 42, 7 },
{ 70, 7, 13 },
{ 16, 74, 9 },
{ 5, 43, 13 },
{ 25, 17, 7 },
{ 25, 55, 14 },
{ 15, 52, 6 },
{ 25, 31, 2 },
{ 25, 64, 8 },
{ 36, 47, 8 },
{ 85, 49, 5 },
{ 21, 47, 14 },
{ 43, 44, 12 },
{ 56, 61, 12 },
{ 15, 67, 11 },
{ 87, 57, 10 },
{ 2, 50, 5 },
{ 34, 88, 5 },
{ 45, 36, 10 },
{ 30, 58, 1 },
{ 85, 2, 14 },
{ 87, 11, 3 },
{ 45, 30, 8 },
{ 15, 24, 5 },
{ 45, 57, 10 },
{ 16, 33, 9 },
{ 60, 53, 11 },
{ 50, 3, 6 },
{ 70, 48, 8 },
{ 81, 35, 1 },
{ 65, 0, 4 },
{ 81, 6, 5 },
{ 35, 56, 4 },
{ 2, 52, 11 },
{ 15, 11, 8 },
{ 50, 47, 1 },
{ 30, 46, 6 },
{ 44, 57, 2 },
{ 34, 27, 10 },
{ 57, 53, 7 },
{ 51, 55, 11 },
{ 30, 11, 14 },
{ 83, 70, 11 },
{ 45, 61, 11 },
{ 85, 25, 9 },
{ 30, 65, 8 },
{ 50, 7, 6 },
{ 20, 18, 3 },
{ 38, 8, 7 },
{ 4, 3, 2 },
{ 85, 91, 8 },
{ 83, 19, 9 },
{ 19, 40, 5 },
{ 5, 88, 1 },
{ 92, 22, 3 },
{ 70, 34, 3 },
{ 85, 80, 1 },
{ 35, 36, 3 },
{ 30, 41, 1 },
{ 57, 22, 10 },
{ 25, 69, 9 },
{ 76, 0, 4 },
{ 51, 83, 3 },
{ 35, 0, 12 },
{ 36, 46, 1 },
{ 56, 52, 7 },
{ 16, 55, 12 },
{ 43, 36, 2 },
{ 57, 5, 4 },
{ 2, 16, 13 },
{ 68, 5, 13 },
{ 11, 24, 9 },
{ 45, 59, 6 },
{ 85, 48, 2 },
{ 25, 82, 13 },
{ 50, 59, 1 },
{ 74, 32, 10 },
{ 35, 50, 10 },
{ 25, 44, 10 },
{ 89, 8, 8 },
{ 81, 21, 6 },
{ 50, 4, 1 },
{ 50, 57, 11 },
{ 50, 74, 11 },
{ 66, 29, 12 },
{ 21, 20, 9 },
{ 2, 37, 4 },
{ 34, 85, 6 },
{ 36, 42, 11 },
{ 89, 12, 1 },
{ 12, 2, 7 },
{ 34, 30, 16 },
{ 87, 18, 11 },
{ 86, 1, 4 },
{ 21, 12, 20 },
{ 17, 4, 8 },
{ 15, 78, 7 },
{ 51, 79, 5 },
{ 38, 19, 4 },
{ 70, 70, 23 },
{ 15, 22, 2 },
{ 51, 46, 24 },
{ 81, 16, 2 },
{ 34, 45, 2 },
{ 51, 31, 13 },
{ 34, 46, 1 },
{ 67, 30, 14 },
{ 85, 44, 2 },
{ 16, 1, 11 },
{ 94, 54, 6 },
{ 89, 46, 6 },
{ 25, 38, 6 },
{ 40, 28, 8 },
{ 44, 14, 11 },
{ 74, 59, 10 },
{ 9, 14, 14 },
{ 9, 3, 5 },
{ 5, 62, 5 },
{ 94, 33, 3 },
{ 87, 35, 1 },
{ 49, 12, 10 },
{ 50, 77, 7 },
{ 57, 61, 3 },
{ 35, 38, 8 },
{ 2, 27, 5 },
num of lectures: 1
0x55555578eb00
courseId: 21
Id: 20
time: 9
!!!!!!!!!!!!
